Port_IOPS.csv
Serial number : 94448(VSP)
From : 2017/06/20 17:18
To   : 2017/06/20 17:23
sampling rate : 1

"No.","time","CL1-A","CL3-A","CL5-A","CL7-A","CL1-B","CL3-B","CL5-B","CL7-B","CL1-C","CL3-C","CL5-C","CL7-C","CL1-D","CL3-D","CL5-D","CL7-D","CL2-A","CL4-A","CL6-A","CL8-A","CL2-B","CL4-B","CL6-B","CL8-B","CL2-C","CL4-C","CL6-C","CL8-C","CL2-D","CL4-D","CL6-D","CL8-D","CL1-J","CL3-J","CL5-J","CL7-J","CL1-K","CL3-K","CL5-K","CL7-K","CL1-L","CL3-L","CL5-L","CL7-L","CL1-M","CL3-M","CL5-M","CL7-M","CL1-N","CL3-N","CL5-N","CL7-N","CL1-P","CL3-P","CL5-P","CL7-P","CL2-J","CL4-J","CL6-J","CL8-J","CL2-K","CL4-K","CL6-K","CL8-K","CL2-L","CL4-L","CL6-L","CL8-L","CL2-M","CL4-M","CL6-M","CL8-M","CL2-N","CL4-N","CL6-N","CL8-N","CL2-P","CL4-P","CL6-P","CL8-P"
"1","2017/06/20 17:19",658,0,0,0,0,1950,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,1993,0,0,0,0,0,0,0,0,0,0,26,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,16,1971,0,0,27,0,0,0,979,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,18,1991,0,0
"2","2017/06/20 17:20",645,0,0,3,0,1886,0,0,0,0,0,0,0,0,0,0,643,0,0,3,0,1897,0,0,0,0,0,0,0,0,0,0,625,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,16,1863,0,0,618,0,0,0,1248,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,16,1912,0,0
"3","2017/06/20 17:21",662,0,0,0,0,1869,0,0,0,0,0,0,0,0,0,0,664,0,0,0,0,1904,0,0,0,0,0,0,0,0,0,0,606,0,0,0,1371,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,30,1885,0,0,604,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,31,1886,0,0
"4","2017/06/20 17:22",656,0,0,0,0,1947,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,1989,0,0,0,0,0,0,0,0,0,0,21,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,16,1979,0,0,21,0,0,0,934,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,17,1964,0,0
"5","2017/06/20 17:23",654,0,0,0,0,1686,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,1694,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1691,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,26,1674,0,0,17,0,0,0,1706,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,27,1716,0,0
