Port_KBPS.csv
Serial number : 94448(VSP)
From : 2017/06/20 17:18
To   : 2017/06/20 17:23
sampling rate : 1

"No.","time","CL1-A","CL3-A","CL5-A","CL7-A","CL1-B","CL3-B","CL5-B","CL7-B","CL1-C","CL3-C","CL5-C","CL7-C","CL1-D","CL3-D","CL5-D","CL7-D","CL2-A","CL4-A","CL6-A","CL8-A","CL2-B","CL4-B","CL6-B","CL8-B","CL2-C","CL4-C","CL6-C","CL8-C","CL2-D","CL4-D","CL6-D","CL8-D","CL1-J","CL3-J","CL5-J","CL7-J","CL1-K","CL3-K","CL5-K","CL7-K","CL1-L","CL3-L","CL5-L","CL7-L","CL1-M","CL3-M","CL5-M","CL7-M","CL1-N","CL3-N","CL5-N","CL7-N","CL1-P","CL3-P","CL5-P","CL7-P","CL2-J","CL4-J","CL6-J","CL8-J","CL2-K","CL4-K","CL6-K","CL8-K","CL2-L","CL4-L","CL6-L","CL8-L","CL2-M","CL4-M","CL6-M","CL8-M","CL2-N","CL4-N","CL6-N","CL8-N","CL2-P","CL4-P","CL6-P","CL8-P"
"1","2017/06/20 17:19",28634,0,0,0,0,63362,0,0,0,0,0,0,0,0,0,0,28470,0,0,0,0,64253,0,0,0,0,0,0,0,0,0,0,170,0,0,0,30567,0,0,0,0,0,0,0,0,0,0,0,2929,0,0,0,118,63918,0,0,180,0,0,0,30668,0,0,0,0,0,0,0,0,0,0,0,3003,0,0,0,141,64437,0,0
"2","2017/06/20 17:20",29039,0,0,35,0,59362,0,0,0,0,0,0,0,0,0,0,29029,0,0,34,0,59555,0,0,0,0,0,0,0,0,0,0,38894,0,0,0,51816,0,0,0,0,0,0,0,0,0,0,0,2289,0,0,0,109,58681,0,0,38364,0,0,0,52266,0,0,0,0,0,0,0,0,0,0,0,2267,0,0,0,102,60085,0,0
"3","2017/06/20 17:21",29620,0,0,0,0,58772,0,0,0,0,0,0,0,0,0,0,29573,0,0,0,0,59488,0,0,0,0,0,0,0,0,0,0,37419,0,0,0,52385,0,0,0,0,0,0,0,0,0,0,0,2514,0,0,0,158,59066,0,0,37345,0,0,0,52369,0,0,0,0,0,0,0,0,0,0,0,2532,0,0,0,164,59082,0,0
"4","2017/06/20 17:22",29882,0,0,0,0,61087,0,0,0,0,0,0,0,0,0,0,29840,0,0,0,0,61657,0,0,0,0,0,0,0,0,0,0,140,0,0,0,23565,0,0,0,0,0,0,0,0,0,0,0,2995,0,0,0,100,61679,0,0,145,0,0,0,23492,0,0,0,0,0,0,0,0,0,0,0,3062,0,0,0,99,61356,0,0
"5","2017/06/20 17:23",29149,0,0,0,0,48488,0,0,0,0,0,0,0,0,0,0,29115,0,0,0,0,48716,0,0,0,0,0,0,0,0,0,0,158,0,0,0,25776,0,0,0,0,0,0,0,0,0,0,0,4429,0,0,0,301,48307,0,0,149,0,0,0,26085,0,0,0,0,0,0,0,0,0,0,0,4424,0,0,0,293,49144,0,0
