PHY_Short_Cache_Usage_Rate_MPB-1MF.csv
Serial number : 94448(VSP)
From : 2017/06/20 17:18
To   : 2017/06/20 17:23
sampling rate : 1

"No.","time","00(CLPR0)","01(CLPR1)"
"1","2017/06/20 17:19",99,96
"2","2017/06/20 17:20",99,96
"3","2017/06/20 17:21",99,96
"4","2017/06/20 17:22",99,96
"5","2017/06/20 17:23",99,96
