PHY_Cache_Allocate_MPB-1MB.csv
Serial number : 94448(VSP)
From : 2017/06/20 17:18
To   : 2017/06/20 17:23
sampling rate : 1

"No.","time","00(CLPR0)","01(CLPR1)"
"1","2017/06/20 17:19",31382,11393
"2","2017/06/20 17:20",31393,11393
"3","2017/06/20 17:21",31356,11393
"4","2017/06/20 17:22",31397,11393
"5","2017/06/20 17:23",31130,11393
