PHY_Short_Cache_Usage_Rate.csv
Serial number : 94448(VSP)
From : 2017/06/20 17:18
To   : 2017/06/20 17:23
sampling rate : 1

"No.","time","ALL"
"1","2017/06/20 17:19",99
"2","2017/06/20 17:20",99
"3","2017/06/20 17:21",99
"4","2017/06/20 17:22",99
"5","2017/06/20 17:23",98
