PHY_Long_MPPCB_ESW.csv
Serial number : 94448(VSP)
From : 2017/06/20 16:45
To   : 2017/06/20 17:00
sampling rate : 15

"No.","time","MPB-1MA.ESW-1SA","MPB-1MA.ESW-1SB","MPB-1MA.ESW-2SC","MPB-1MA.ESW-2SD","MPB-1MB.ESW-1SA","MPB-1MB.ESW-1SB","MPB-1MB.ESW-2SC","MPB-1MB.ESW-2SD","MPB-1ME.ESW-1SE","MPB-1ME.ESW-1SF","MPB-1ME.ESW-2SG","MPB-1ME.ESW-2SH","MPB-1MF.ESW-1SE","MPB-1MF.ESW-1SF","MPB-1MF.ESW-2SG","MPB-1MF.ESW-2SH","MPB-2MC.ESW-1SA","MPB-2MC.ESW-1SB","MPB-2MC.ESW-2SC","MPB-2MC.ESW-2SD","MPB-2MD.ESW-1SA","MPB-2MD.ESW-1SB","MPB-2MD.ESW-2SC","MPB-2MD.ESW-2SD","MPB-2MG.ESW-1SE","MPB-2MG.ESW-1SF","MPB-2MG.ESW-2SG","MPB-2MG.ESW-2SH","MPB-2MH.ESW-1SE","MPB-2MH.ESW-1SF","MPB-2MH.ESW-2SG","MPB-2MH.ESW-2SH"
"1","2017/06/20 17:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
