PHY_Long_CHA_ESW.csv
Serial number : 94448(VSP)
From : 2017/06/20 16:45
To   : 2017/06/20 17:00
sampling rate : 15

"No.","time","CHA-1EU.ESW-1SA","CHA-1EU.ESW-2SC","CHA-1EL.ESW-1SA","CHA-1EL.ESW-2SC","CHA-1GU.ESW-1SE","CHA-1GU.ESW-2SG","CHA-1GL.ESW-1SE","CHA-1GL.ESW-2SG","CHA-1HU.ESW-1SF","CHA-1HU.ESW-2SH","CHA-2QU.ESW-1SA","CHA-2QU.ESW-2SC","CHA-2QL.ESW-1SA","CHA-2QL.ESW-2SC","CHA-2TU.ESW-1SE","CHA-2TU.ESW-2SG","CHA-2TL.ESW-1SE","CHA-2TL.ESW-2SG","CHA-2UU.ESW-1SF","CHA-2UU.ESW-2SH"
"1","2017/06/20 17:00",2,3,0,0,1,1,0,0,2,2,3,2,0,0,1,1,0,0,2,2
